Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,2.7669999999999995,2.7536448226103394,-27.5
-22.5 to -17.5 %,3.7119999999999997,3.694083694083694,-22.5
-17.5 to -12.5 %,6.2940000000000005,6.26362143603523,-17.5
-12.5 to -7.5 %,10.917000000000002,10.864308105687417,-12.5
-7.5 to -2.5 %,16.945999999999998,16.864208588346518,-7.5
-2.5 to 2.5 %,21.900000000000002,21.794297656366624,-2.5
2.5 to 7.5 %,13.642000000000001,13.576155645121164,2.5
7.5 to 12.5 %,10.560999999999998,10.510026372095336,7.5
12.5 to 17.5 %,6.613,6.581081753495548,12.5
17.5 to 22.5 %,4.0409999999999995,4.021495745633676,17.5
22.5 to 27.5 %,3.092,3.0770761805244566,22.5
