Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,1.4789999999999999,3.4688181626287027,-27.5
-22.5 to -17.5 %,2.587,6.067500058634519,-22.5
-17.5 to -12.5 %,3.3729999999999998,7.910969345873302,-17.5
-12.5 to -7.5 %,6.195000000000001,14.529633886061404,-12.5
-7.5 to -2.5 %,7.332999999999999,17.19867720524427,-7.5
-2.5 to 2.5 %,8.303,19.473696554635648,-2.5
2.5 to 7.5 %,5.097999999999999,11.956751178553835,2.5
7.5 to 12.5 %,4.623,10.842695311583835,7.5
12.5 to 17.5 %,1.768,4.146633205900978,12.5
17.5 to 22.5 %,0.946,2.2187302108497313,17.5
22.5 to 27.5 %,0.9319999999999999,2.185894880033773,22.5
