Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,1.9909999999999999,9.99849344649224,-27.5
-22.5 to -17.5 %,1.2489999999999999,6.272284437302264,-22.5
-17.5 to -12.5 %,1.2100000000000002,6.076432481293629,-17.5
-12.5 to -7.5 %,2.195,11.02294983176819,-12.5
-7.5 to -2.5 %,2.58,12.956360166725256,-7.5
-2.5 to 2.5 %,3.4550000000000005,17.350474564354947,-2.5
2.5 to 7.5 %,1.674,8.406568573293828,2.5
7.5 to 12.5 %,1.2329999999999999,6.191934916888464,7.5
12.5 to 17.5 %,0.413,2.074021995681213,12.5
17.5 to 22.5 %,0.697,3.500225983026164,17.5
22.5 to 27.5 %,3.216,16.150253603173805,22.5
