Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.595,5.6981421183681285,-27.5
-22.5 to -17.5 %,0.5720000000000001,5.477877801187512,-22.5
-17.5 to -12.5 %,0.465,4.453169890825513,-17.5
-12.5 to -7.5 %,0.89,8.523271403945603,-12.5
-7.5 to -2.5 %,1.628,15.59088297261061,-7.5
-2.5 to 2.5 %,3.677,35.213560620570775,-2.5
2.5 to 7.5 %,0.554,5.305497031220073,2.5
7.5 to 12.5 %,0.152,1.4556598352805976,7.5
12.5 to 17.5 %,0.25,2.3941773606588774,12.5
17.5 to 22.5 %,0.40499999999999997,3.8785673242673813,17.5
22.5 to 27.5 %,1.2539999999999998,12.009193641064927,22.5
