Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.41500000000000004,0.847284605961617,-27.5
-22.5 to -17.5 %,0.507,1.0351163740302163,-22.5
-17.5 to -12.5 %,2.333,4.763168640261331,-17.5
-12.5 to -7.5 %,6.013,12.276439363005306,-12.5
-7.5 to -2.5 %,9.427999999999999,19.2486729277256,-7.5
-2.5 to 2.5 %,11.583,23.64842792976725,-2.5
2.5 to 7.5 %,9.984000000000002,20.38383013474888,2.5
7.5 to 12.5 %,5.135999999999999,10.485912617394852,7.5
12.5 to 17.5 %,2.072,4.230298080849327,12.5
17.5 to 22.5 %,0.843,1.721110657411188,17.5
22.5 to 27.5 %,0.666,1.3597386688444262,22.5
