Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,3.1879999999999997,2.0011926807068203,-27.5
-22.5 to -17.5 %,3.467,2.176328426603057,-22.5
-17.5 to -12.5 %,10.732,6.736762813471016,-17.5
-12.5 to -7.5 %,22.904999999999998,14.37807978406202,-12.5
-7.5 to -2.5 %,22.889,14.368036157057219,-7.5
-2.5 to 2.5 %,31.89,20.018204073946208,-2.5
2.5 to 7.5 %,24.932,15.650481780232889,2.5
7.5 to 12.5 %,20.511,12.875302093468505,7.5
12.5 to 17.5 %,11.194999999999999,7.0274002699224765,12.5
17.5 to 22.5 %,4.408,2.767019239822982,17.5
22.5 to 27.5 %,3.188,2.0011926807068208,22.5
