Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,3.23,7.390796970459696,-27.5
-22.5 to -17.5 %,1.413,3.2331876530215324,-22.5
-17.5 to -12.5 %,2.109,4.825755668947213,-17.5
-12.5 to -7.5 %,3.396,7.770633594947716,-12.5
-7.5 to -2.5 %,5.979999999999999,13.68327117131547,-7.5
-2.5 to 2.5 %,11.82,27.046198201496473,-2.5
2.5 to 7.5 %,5.378,12.305791364437226,2.5
7.5 to 12.5 %,3.7849999999999997,8.660732672814225,7.5
12.5 to 17.5 %,1.843,4.217101800791709,12.5
17.5 to 22.5 %,1.531,3.5031920005491624,17.5
22.5 to 27.5 %,3.2179999999999995,7.363338901219597,22.5
