Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,5.05,5.3077440511225085,-27.5
-22.5 to -17.5 %,4.138999999999999,4.350248045068527,-22.5
-17.5 to -12.5 %,7.9510000000000005,8.356806524846547,-17.5
-12.5 to -7.5 %,10.728000000000002,11.275540233750947,-12.5
-7.5 to -2.5 %,12.492,13.129572017152945,-7.5
-2.5 to 2.5 %,14.45,15.187505255192127,-2.5
2.5 to 7.5 %,13.100000000000001,13.768603380139579,2.5
7.5 to 12.5 %,9.699,10.194021693433111,7.5
12.5 to 17.5 %,7.920000000000001,8.324224333641638,12.5
17.5 to 22.5 %,4.384,4.607752459429917,17.5
22.5 to 27.5 %,5.230999999999999,5.497982006222147,22.5
