Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.613,0.6043040645116771,-27.5
-22.5 to -17.5 %,0.891,0.8783603939313283,-22.5
-17.5 to -12.5 %,3.278,3.2314987332288374,-17.5
-12.5 to -7.5 %,6.651,6.5566498092449645,-12.5
-7.5 to -2.5 %,15.49,15.270260945001432,-7.5
-2.5 to 2.5 %,48.03,47.34865288498507,-2.5
2.5 to 7.5 %,15.25,15.033665552696696,2.5
7.5 to 12.5 %,6.48,6.388075592227842,7.5
12.5 to 17.5 %,3.1140000000000003,3.0698252151539354,12.5
17.5 to 22.5 %,1.075,1.0597501946982917,17.5
22.5 to 27.5 %,0.5670000000000002,0.5589566143199364,22.5
