Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,2.5700000000000003,2.559913939080025,-27.5
-22.5 to -17.5 %,2.242,2.2332011873219515,-22.5
-17.5 to -12.5 %,4.605,4.586927505627828,-17.5
-12.5 to -7.5 %,11.036999999999999,10.993684881566628,-12.5
-7.5 to -2.5 %,17.6,17.530928143116125,-7.5
-2.5 to 2.5 %,24.490000000000002,24.39388808096102,-2.5
2.5 to 7.5 %,18.48,18.407474550271928,2.5
7.5 to 12.5 %,9.34,9.30334482140367,7.5
12.5 to 17.5 %,5.843999999999999,5.821065003884694,12.5
17.5 to 22.5 %,1.826,1.8188337948482978,17.5
22.5 to 27.5 %,2.3600000000000003,2.350738091917844,22.5
