Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,5.550000000000001,3.443547536467478,-27.5
-22.5 to -17.5 %,4.793,2.973860061673626,-22.5
-17.5 to -12.5 %,8.373000000000001,5.195103337449044,-17.5
-12.5 to -7.5 %,17.75,11.013147526540132,-12.5
-7.5 to -2.5 %,27.729999999999997,17.205328502025793,-7.5
-2.5 to 2.5 %,34.26,21.256925873761404,-2.5
2.5 to 7.5 %,27.09,16.80823473205477,2.5
7.5 to 12.5 %,16.62,10.312028838935044,7.5
12.5 to 17.5 %,8.506999999999998,5.278244845536726,12.5
17.5 to 22.5 %,4.52,2.8044747504203604,17.5
22.5 to 27.5 %,5.978000000000001,3.7091039951356013,22.5
