Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,1.0409999999999997,2.0861305384661626,-27.5
-22.5 to -17.5 %,1.3980000000000001,2.8015470631851067,-22.5
-17.5 to -12.5 %,1.812,3.631189755716319,-17.5
-12.5 to -7.5 %,4.51,9.037895032163684,-12.5
-7.5 to -2.5 %,8.213,16.458588004248412,-7.5
-2.5 to 2.5 %,15.528999999999998,31.119616841345866,-2.5
2.5 to 7.5 %,11.707,23.460451694354827,2.5
7.5 to 12.5 %,3.344,6.7012685116530735,7.5
12.5 to 17.5 %,1.7940000000000003,3.595118334301919,12.5
17.5 to 22.5 %,0.48800000000000004,0.9779363139015251,17.5
22.5 to 27.5 %,0.065,0.13025791066311299,22.5
