Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,1.0010000000000001,0.6207251508405525,-27.5
-22.5 to -17.5 %,1.658,1.0281341659277081,-22.5
-17.5 to -12.5 %,4.747,2.943638652387714,-17.5
-12.5 to -7.5 %,14.017,8.692012426905118,-12.5
-7.5 to -2.5 %,30.45,18.88219864445037,-7.5
-2.5 to 2.5 %,47.23,29.2875613128864,-2.5
2.5 to 7.5 %,39.67,24.599567166678035,2.5
7.5 to 12.5 %,15.876000000000001,9.844787707037572,7.5
12.5 to 17.5 %,4.996,3.0980448087906094,12.5
17.5 to 22.5 %,1.488,0.9227163081425993,17.5
22.5 to 27.5 %,0.13,0.08061365595331849,22.5
