Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.41100000000000003,0.4082078582495729,-27.5
-22.5 to -17.5 %,1.244,1.2355488458940844,-22.5
-17.5 to -12.5 %,2.373,2.3568789479957095,-17.5
-12.5 to -7.5 %,5.73,5.691073060267769,-12.5
-7.5 to -2.5 %,16.653,16.539867307615904,-7.5
-2.5 to 2.5 %,44.39,44.08843510388939,-2.5
2.5 to 7.5 %,19.299999999999997,19.168884827777994,2.5
7.5 to 12.5 %,6.67,6.624687139962654,7.5
12.5 to 17.5 %,2.314,2.2982797663978385,12.5
17.5 to 22.5 %,1.126,1.1183504826983433,17.5
22.5 to 27.5 %,0.47300000000000003,0.469786659250725,22.5
