Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,0.982,0.6100250346322768,-27.5
-22.5 to -17.5 %,1.802,1.1194145747529152,-22.5
-17.5 to -12.5 %,3.6270000000000002,2.2531169048994584,-17.5
-12.5 to -7.5 %,11.219999999999999,6.96993980506532,-12.5
-7.5 to -2.5 %,32.64,20.276188523826388,-7.5
-2.5 to 2.5 %,61.260000000000005,38.05512588754916,-2.5
2.5 to 7.5 %,32.13,19.959373078141603,2.5
7.5 to 12.5 %,10.379,6.447504923063543,7.5
12.5 to 17.5 %,4.3919999999999995,2.7283400734266388,12.5
17.5 to 22.5 %,1.4620000000000002,0.9082042776297237,17.5
22.5 to 27.5 %,1.0830000000000002,0.6727669170129896,22.5
