Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,5.382999999999999,5.446616480492147,-27.5
-22.5 to -17.5 %,6.234999999999999,6.308685446009389,-22.5
-17.5 to -12.5 %,6.309,6.383559980573093,-17.5
-12.5 to -7.5 %,13.389,13.54723166585721,-12.5
-7.5 to -2.5 %,14.703,14.876760563380278,-7.5
-2.5 to 2.5 %,12.572000000000001,12.720576331552532,-2.5
2.5 to 7.5 %,12.506000000000002,12.653796341265988,2.5
7.5 to 12.5 %,9.491000000000001,9.603164966812368,7.5
12.5 to 17.5 %,5.659,5.72587825805407,12.5
17.5 to 22.5 %,4.9190000000000005,4.977132912417031,17.5
22.5 to 27.5 %,7.666,7.756597053585883,22.5
