Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,2.3220000000000005,4.179190439336946,-27.5
-22.5 to -17.5 %,3.763,6.772736271845359,-22.5
-17.5 to -12.5 %,5.592,10.064613667860549,-17.5
-12.5 to -7.5 %,5.35,9.629056352477457,-12.5
-7.5 to -2.5 %,5.956,10.719749464552475,-7.5
-2.5 to 2.5 %,7.784000000000001,14.009827036950382,-2.5
2.5 to 7.5 %,7.998,14.394989291049479,2.5
7.5 to 12.5 %,6.444,11.5980633897878,7.5
12.5 to 17.5 %,3.9840000000000004,7.170497291265457,12.5
17.5 to 22.5 %,3.1870000000000003,5.736037868288908,17.5
22.5 to 27.5 %,3.181,5.725238926585194,22.5
