Bin,Distance_km,Perc,sort
-27.5 to -22.5 %,10.068999999999999,5.8349704166014735,-27.5
-22.5 to -17.5 %,10.431999999999999,6.045328372826156,-22.5
-17.5 to -12.5 %,12.74,7.382810915433784,-17.5
-12.5 to -7.5 %,17.73,10.274508440395683,-12.5
-7.5 to -2.5 %,20.99,12.163673556903856,-7.5
-2.5 to 2.5 %,26.65,15.443635078203325,-2.5
2.5 to 7.5 %,22.54,13.061896234998233,2.5
7.5 to 12.5 %,16.721,9.689794451881342,7.5
12.5 to 17.5 %,14.8,8.576577829546311,12.5
17.5 to 22.5 %,10.416,6.036056396794215,17.5
22.5 to 27.5 %,9.475,5.490748306415628,22.5
